epoch,train_loss,train_accuracy,train_balanced_accuracy,train_f1,val_accuracy,val_balanced_accuracy,val_f1,val_roc_auc,val_pr_auc,threshold,lr
1,0.7546066586956656,0.6687116564417178,0.6818873668188736,0.6493506493506493,0.8888888888888888,0.9230769230769231,0.8333333333333334,0.9230769230769231,0.7861904761904761,0.46000000000000024,0.0002987210067753846
2,0.6544122516743245,0.7300613496932515,0.726923076923077,0.7555555555555555,0.8888888888888888,0.8615384615384616,0.8,0.9538461538461538,0.925,0.4100000000000002,0.00029490591103021566
3,0.4624882293807948,0.8834355828220859,0.8871212121212122,0.8805031446540881,0.8888888888888888,0.8615384615384616,0.8,0.9230769230769231,0.8711111111111112,0.3000000000000001,0.0002886199901104373
4,0.4237051200281623,0.8773006134969326,0.8762526571515336,0.8876404494382022,0.7777777777777778,0.8461538461538461,0.7142857142857143,0.8615384615384616,0.7611111111111111,0.2700000000000001,0.00027997079786577355
5,0.27809547756347186,0.9141104294478528,0.9158272283272284,0.9213483146067416,1.0,1.0,1.0,1.0,1.0,0.3300000000000001,0.0002691063243735396
6,0.22906158453116388,0.9386503067484663,0.9382575757575757,0.9333333333333333,0.9444444444444444,0.9615384615384616,0.9090909090909091,0.9846153846153847,0.9666666666666666,0.2900000000000001,0.00025621246378738883
7,0.25886150755765247,0.9263803680981595,0.9263775971093045,0.926829268292683,0.9444444444444444,0.9,0.8888888888888888,0.9692307692307692,0.9428571428571428,0.5400000000000003,0.0002415098336368037
8,0.1486928357851286,0.9447852760736196,0.9453313253012048,0.9454545454545454,0.9444444444444444,0.9615384615384616,0.9090909090909091,0.9846153846153847,0.9666666666666666,0.22000000000000003,0.00022524999999999997
9,0.13196681138196606,0.9815950920245399,0.9817661241711875,0.9820359281437125,0.9444444444444444,0.9,0.8888888888888888,0.9692307692307692,0.9428571428571428,0.5100000000000002,0.0002077111731385809
10,0.07313199679544367,0.9877300613496932,0.9879518072289157,0.9878048780487805,0.8888888888888888,0.8615384615384616,0.8,0.9538461538461538,0.9028571428571428,0.21000000000000002,0.00018919344724282683
11,0.09442665002828726,0.9693251533742331,0.9684937746735499,0.9720670391061452,0.9444444444444444,0.9615384615384616,0.9090909090909091,0.9846153846153847,0.9666666666666666,0.2,0.0001700136657368977
12,0.07603072859575412,0.9754601226993865,0.9758137432188065,0.9759036144578314,0.9444444444444444,0.9615384615384616,0.9090909090909091,0.9846153846153847,0.9666666666666666,0.2,0.00015049999999999997
