Model,Patients,Accuracy,Precision,Sensitivity,Specificity,F1,Balanced Accuracy,ROC-AUC,PR-AUC
Fundus-only,18,88.88888888888889,100.0,50.0,100.0,66.66666666666666,75.0,100.0,100.0
OCT-only,18,83.33333333333334,57.14285714285714,100.0,78.57142857142857,72.72727272727273,89.28571428571428,87.50000000000001,56.666666666666664
U-CARE V12 Fusion,18,88.88888888888889,100.0,50.0,100.0,66.66666666666666,75.0,100.0,100.0
